                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0231,                0.80804,                 1.2497,                0.89903,                0.71266,                0.78952,                 0.5843,                0.89911,                0.58548,                 1.1649,             6.0639e-05,             6.0639e-05,             6.0639e-05
                      2,                0.99992,                0.77465,                 1.2352,                0.90094,                0.71017,                   0.79,                0.58382,                0.89406,                0.58417,                 1.1559,             8.1275e-05,             8.1275e-05,             8.1275e-05
                      3,                0.98913,                0.76355,                 1.2282,                 0.8693,                0.73012,                0.79169,                0.58858,                0.88525,                 0.5773,                 1.1515,             6.1871e-05,             6.1871e-05,             6.1871e-05
