                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4059,                 7.2949,                 3.9288,                0.35655,                 0.0046,                0.00174,                0.00047,                 3.2456,                  5.315,                 3.2751,              6.057e-05,              6.057e-05,              6.057e-05
                      2,                 3.1671,                 4.2795,                  2.623,                0.09093,                0.02468,                0.01277,                0.00496,                 2.8609,                 3.8934,                  2.029,             8.1229e-05,             8.1229e-05,             8.1229e-05
                      3,                 2.7716,                 3.3153,                 1.8106,                0.11494,                0.02624,                0.01891,                0.00866,                 2.4415,                 3.1568,                 1.6992,             6.1847e-05,             6.1847e-05,             6.1847e-05
