                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76325,                0.51766,                0.86881,                0.85319,                0.70206,                0.79442,                0.58197,                0.76283,                0.44725,                0.86628,              6.057e-05,              6.057e-05,              6.057e-05
                      2,                0.76374,                0.51605,                0.86838,                0.87959,                0.67843,                0.79202,                0.58022,                0.76387,                 0.4481,                0.86516,             0.00011324,             0.00011324,             0.00011324
                      3,                0.76722,                0.51793,                0.86952,                0.85926,                0.70202,                0.79419,                0.58027,                0.77972,                0.44976,                0.86735,             0.00015789,             0.00015789,             0.00015789
                      4,                0.76179,                0.51608,                0.86686,                0.84053,                0.70779,                0.79542,                0.58518,                0.75095,                0.44405,                0.86169,             0.00014596,             0.00014596,             0.00014596
                      5,                0.76079,                0.50989,                 0.8654,                0.87685,                0.68962,                0.79789,                0.58192,                  0.774,                0.44663,                0.86356,             0.00014596,             0.00014596,             0.00014596
                      6,                0.73175,                0.46502,                0.85107,                0.85042,                0.71045,                0.79488,                0.60516,                0.68052,                0.42685,                0.85389,             0.00013395,             0.00013395,             0.00013395
                      7,                0.71962,                0.45702,                0.84809,                  0.849,                0.71263,                0.79401,                0.60706,                0.67899,                0.42347,                0.85332,             0.00012194,             0.00012194,             0.00012194
                      8,                0.71795,                0.45417,                0.84727,                0.86543,                0.70085,                 0.7985,                0.61127,                 0.6769,                0.42014,                0.85109,             0.00010993,             0.00010993,             0.00010993
                      9,                0.71084,                0.45312,                0.84369,                0.85266,                0.71671,                 0.7985,                0.60906,                0.67703,                0.41955,                0.85023,             9.7916e-05,             9.7916e-05,             9.7916e-05
                     10,                0.70961,                0.45042,                0.84371,                0.85886,                0.71296,                0.79988,                0.61128,                0.67625,                0.41682,                0.84984,             8.5904e-05,             8.5904e-05,             8.5904e-05
                     11,                0.70492,                0.44707,                0.84287,                0.85621,                0.71252,                0.80092,                 0.6135,                 0.6713,                0.41307,                0.84871,             7.3892e-05,             7.3892e-05,             7.3892e-05
                     12,                0.70315,                0.44475,                0.84303,                0.84954,                 0.7165,                0.80061,                0.61659,                0.66782,                0.41024,                0.84777,              6.188e-05,              6.188e-05,              6.188e-05
                     13,                0.70023,                0.44096,                0.84006,                0.84869,                0.71893,                0.79963,                0.61532,                0.66562,                0.40951,                 0.8469,             4.9868e-05,             4.9868e-05,             4.9868e-05
                     14,                0.70056,                0.44179,                0.84108,                0.85545,                0.71787,                0.80039,                0.61734,                0.66437,                0.40807,                0.84608,             3.7856e-05,             3.7856e-05,             3.7856e-05
                     15,                0.69716,                0.43953,                0.83835,                0.86134,                 0.7134,                0.80056,                0.61641,                0.66433,                0.40772,                0.84527,             2.5844e-05,             2.5844e-05,             2.5844e-05
