                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3502,                 3.3164,                 2.5491,                0.59012,                0.26339,                0.24993,                0.17147,                 1.5428,                 1.5549,                  1.808,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.3424,                 1.4886,                 1.5673,                0.86276,                0.37542,                0.43481,                0.30519,                 1.3943,                 1.2396,                 1.4596,              0.0066322,              0.0066322,              0.0066322
                      3,                 1.2376,                 1.2446,                 1.4483,                0.81509,                0.45479,                0.52919,                0.37408,                 1.3001,                 1.1438,                 1.3736,              0.0098995,              0.0098995,              0.0098995
                      4,                 1.1652,                 1.0828,                 1.3811,                0.87729,                0.50595,                0.59067,                0.42176,                 1.1816,                 1.0171,                 1.2991,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1081,                0.96049,                 1.3338,                0.89288,                0.53777,                 0.6267,                 0.4558,                 1.1182,                0.94118,                 1.2628,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.0754,                0.89358,                 1.3077,                0.89297,                0.55564,                0.64361,                0.47107,                 1.0705,                0.88589,                 1.2346,               0.009802,               0.009802,               0.009802
                      7,                 1.0529,                0.85771,                 1.2901,                 0.9294,                0.54633,                0.65663,                0.47977,                 1.0468,                0.84974,                 1.2232,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.0397,                0.83167,                 1.2771,                0.88093,                0.58351,                0.66864,                0.48908,                 1.0252,                0.82311,                  1.203,               0.009703,               0.009703,               0.009703
                      9,                 1.0259,                0.81138,                 1.2658,                0.89169,                0.59916,                 0.6838,                0.50359,                 1.0067,                0.78699,                 1.1928,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.0172,                0.79897,                  1.256,                 0.9062,                0.60201,                0.69487,                0.51125,                0.99094,                0.75949,                 1.1819,               0.009604,               0.009604,               0.009604
                     11,                 1.0092,                0.78765,                 1.2484,                0.88364,                 0.6175,                0.70361,                 0.5192,                0.97522,                0.73519,                 1.1724,              0.0095545,              0.0095545,              0.0095545
                     12,                0.99777,                0.77091,                 1.2376,                0.90936,                0.61632,                0.71277,                0.52654,                 0.9632,                0.71943,                 1.1657,               0.009505,               0.009505,               0.009505
                     13,                0.99258,                0.76633,                 1.2354,                0.90203,                0.62084,                0.71703,                0.53146,                 0.9538,                0.70102,                 1.1599,              0.0094555,              0.0094555,              0.0094555
                     14,                0.98559,                0.75207,                 1.2282,                0.89011,                0.63544,                0.72348,                0.53547,                0.94162,                0.68687,                 1.1548,               0.009406,               0.009406,               0.009406
                     15,                0.98015,                0.74545,                 1.2233,                0.90338,                0.63203,                0.72943,                0.54131,                0.93545,                0.67371,                 1.1511,              0.0093565,              0.0093565,              0.0093565
                     16,                0.97626,                0.74143,                 1.2197,                0.90256,                0.64033,                0.73332,                0.54602,                0.92913,                0.66354,                 1.1468,               0.009307,               0.009307,               0.009307
                     17,                0.96997,                 0.7345,                  1.217,                0.90871,                0.64102,                0.73646,                0.54878,                0.92498,                0.65772,                 1.1459,              0.0092575,              0.0092575,              0.0092575
