                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2657,                 3.0375,                 2.4927,                0.70946,                0.31282,                0.32098,                 0.2215,                 1.4131,                 1.3457,                 1.6788,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.2895,                 1.3468,                  1.518,                0.85676,                0.45398,                 0.5035,                0.35846,                 1.3265,                 1.1467,                 1.4028,              0.0065332,              0.0065332,              0.0065332
                      3,                 1.1849,                  1.118,                 1.4054,                0.90965,                0.49412,                0.58301,                0.41824,                 1.1739,                 1.0096,                 1.3077,              0.0096026,              0.0096026,              0.0096026
                      4,                 1.1144,                0.97206,                 1.3432,                0.89304,                0.53378,                0.63319,                0.45495,                 1.0817,                0.90307,                 1.2557,               0.009406,               0.009406,               0.009406
                      5,                 1.0631,                0.87198,                  1.303,                0.85774,                0.58202,                0.67588,                0.48885,                 1.0355,                 0.8116,                 1.2373,               0.009406,               0.009406,               0.009406
                      6,                 1.0317,                0.81536,                 1.2786,                0.86729,                 0.6143,                0.70358,                0.51796,                0.99958,                0.74805,                 1.2115,               0.009208,               0.009208,               0.009208
                      7,                 1.0099,                0.78325,                 1.2613,                0.89805,                0.61667,                0.72517,                0.53235,                0.97374,                0.70852,                 1.1982,                0.00901,                0.00901,                0.00901
                      8,                0.99577,                0.75918,                 1.2499,                0.84388,                 0.6707,                0.73876,                0.54337,                0.95408,                0.67839,                 1.1859,               0.008812,               0.008812,               0.008812
                      9,                0.98122,                0.74014,                 1.2397,                0.89142,                0.66727,                0.74839,                0.55293,                0.93518,                0.65691,                 1.1772,               0.008614,               0.008614,               0.008614
                     10,                0.97121,                0.72774,                 1.2307,                0.89134,                0.67983,                0.75485,                0.55884,                0.93174,                0.64735,                 1.1719,               0.008416,               0.008416,               0.008416
                     11,                0.96279,                0.71768,                 1.2242,                0.90692,                0.68325,                0.76279,                0.56557,                0.91699,                0.63453,                 1.1625,               0.008218,               0.008218,               0.008218
                     12,                0.95081,                0.70313,                 1.2131,                0.90915,                0.68814,                0.76889,                0.56772,                0.91172,                 0.6248,                 1.1565,                0.00802,                0.00802,                0.00802
                     13,                0.94508,                0.69929,                 1.2102,                0.89879,                0.70493,                0.77523,                 0.5753,                0.89936,                0.61004,                   1.15,               0.007822,               0.007822,               0.007822
                     14,                 0.9369,                0.68656,                 1.2014,                0.90567,                0.70349,                0.77896,                0.57973,                0.89112,                0.60099,                 1.1446,               0.007624,               0.007624,               0.007624
                     15,                0.93091,                0.68003,                 1.1962,                0.90817,                0.70823,                 0.7808,                 0.5818,                0.88928,                0.59328,                 1.1441,               0.007426,               0.007426,               0.007426
                     16,                0.92572,                0.67603,                 1.1921,                0.91154,                0.70972,                0.78784,                0.58861,                0.88368,                0.58506,                 1.1393,               0.007228,               0.007228,               0.007228
                     17,                0.91923,                0.67025,                 1.1885,                0.91178,                0.71492,                 0.7898,                0.59061,                0.88003,                0.57953,                 1.1366,                0.00703,                0.00703,                0.00703
                     18,                0.91398,                0.66631,                 1.1858,                0.91196,                 0.7214,                0.79206,                0.59347,                0.87541,                0.57493,                 1.1341,               0.006832,               0.006832,               0.006832
                     19,                0.90977,                  0.656,                 1.1819,                0.90787,                0.72196,                0.79379,                0.59579,                0.87132,                0.57204,                 1.1313,               0.006634,               0.006634,               0.006634
                     20,                0.90471,                0.65809,                 1.1793,                0.90552,                0.72608,                0.79679,                0.59868,                0.86853,                0.56889,                 1.1299,               0.006436,               0.006436,               0.006436
                     21,                0.89887,                0.64844,                 1.1742,                0.90783,                0.72936,                0.79847,                0.59945,                0.86601,                0.56458,                 1.1286,               0.006238,               0.006238,               0.006238
                     22,                0.89616,                0.64631,                 1.1736,                0.91403,                0.72703,                0.79997,                0.60166,                0.86308,                0.56116,                 1.1276,                0.00604,                0.00604,                0.00604
                     23,                0.89254,                0.64419,                 1.1685,                0.91114,                 0.7295,                0.80056,                0.60377,                0.86202,                0.55926,                 1.1268,               0.005842,               0.005842,               0.005842
                     24,                0.88908,                0.64035,                 1.1678,                0.90021,                0.73813,                 0.8017,                0.60396,                0.86023,                0.55735,                 1.1259,               0.005644,               0.005644,               0.005644
                     25,                0.88253,                0.63272,                 1.1623,                0.90474,                0.73711,                0.80232,                 0.6036,                0.85911,                0.55569,                 1.1249,               0.005446,               0.005446,               0.005446
                     26,                0.87778,                0.63401,                 1.1609,                0.90183,                0.74098,                0.80336,                0.60556,                0.85786,                0.55417,                 1.1242,               0.005248,               0.005248,               0.005248
                     27,                0.87264,                0.62113,                 1.1551,                 0.9023,                0.74207,                0.80374,                0.60607,                0.85666,                0.55254,                 1.1234,                0.00505,                0.00505,                0.00505
                     28,                0.86977,                0.61976,                 1.1536,                0.90647,                0.74099,                0.80468,                0.60768,                0.85577,                0.55116,                 1.1231,               0.004852,               0.004852,               0.004852
                     29,                0.86609,                 0.6201,                 1.1535,                0.90794,                0.74105,                0.80546,                0.60864,                 0.8552,                0.55018,                 1.1226,               0.004654,               0.004654,               0.004654
                     30,                0.86219,                0.61698,                 1.1484,                0.90751,                0.74353,                0.80602,                0.60837,                0.85466,                0.54921,                 1.1222,               0.004456,               0.004456,               0.004456
                     31,                0.85562,                0.60865,                 1.1431,                0.91039,                0.74143,                0.80647,                0.60897,                0.85391,                 0.5484,                 1.1219,               0.004258,               0.004258,               0.004258
                     32,                0.85079,                0.60585,                 1.1409,                0.90518,                0.74599,                0.80697,                 0.6095,                0.85308,                0.54748,                 1.1215,                0.00406,                0.00406,                0.00406
                     33,                0.84718,                0.59881,                 1.1401,                0.90826,                0.74551,                0.80733,                0.60951,                0.85244,                 0.5466,                 1.1212,               0.003862,               0.003862,               0.003862
                     34,                0.84331,                0.60017,                 1.1376,                0.90939,                0.74546,                0.80772,                0.61004,                0.85168,                0.54574,                  1.121,               0.003664,               0.003664,               0.003664
                     35,                0.83844,                0.59243,                 1.1339,                0.91045,                0.74557,                0.80799,                0.61057,                0.85097,                0.54495,                 1.1208,               0.003466,               0.003466,               0.003466
                     36,                0.83528,                0.58939,                 1.1308,                 0.9091,                0.74638,                0.80832,                0.61101,                0.85068,                0.54443,                 1.1206,               0.003268,               0.003268,               0.003268
                     37,                0.83121,                0.58786,                 1.1295,                0.90974,                 0.7471,                 0.8087,                0.61119,                0.85028,                0.54372,                 1.1204,                0.00307,                0.00307,                0.00307
                     38,                0.82514,                0.58146,                 1.1245,                0.91029,                0.74685,                0.80894,                0.61164,                0.84971,                0.54317,                 1.1203,               0.002872,               0.002872,               0.002872
                     39,                0.81856,                 0.5733,                 1.1194,                0.91125,                 0.7464,                0.80919,                0.61207,                 0.8492,                0.54267,                 1.1202,               0.002674,               0.002674,               0.002674
                     40,                0.81573,                0.57286,                 1.1184,                0.90839,                 0.7484,                0.80948,                0.61221,                0.84887,                0.54232,                 1.1201,               0.002476,               0.002476,               0.002476
                     41,                0.79446,                0.53261,                 1.1356,                0.90958,                0.74827,                0.80993,                0.61303,                0.84572,                 0.5414,                 1.1197,               0.002278,               0.002278,               0.002278
                     42,                0.78322,                 0.5217,                 1.1296,                0.91064,                0.74829,                0.81015,                0.61427,                0.84266,                0.54039,                 1.1195,                0.00208,                0.00208,                0.00208
                     43,                0.77414,                0.51288,                 1.1211,                0.91039,                0.74907,                0.81051,                0.61439,                 0.8396,                0.53935,                 1.1193,               0.001882,               0.001882,               0.001882
                     44,                 0.7671,                0.50547,                 1.1149,                0.91012,                0.74909,                0.81075,                0.61516,                0.83685,                0.53849,                  1.119,               0.001684,               0.001684,               0.001684
                     45,                0.75691,                 0.4957,                 1.1105,                0.90821,                0.75156,                 0.8113,                0.61611,                0.83438,                0.53791,                 1.1187,               0.001486,               0.001486,               0.001486
                     46,                0.74871,                0.48814,                 1.1023,                0.90803,                0.75235,                0.81156,                0.61717,                0.83215,                0.53723,                 1.1186,               0.001288,               0.001288,               0.001288
                     47,                0.73975,                0.47961,                 1.0966,                0.90884,                0.75206,                0.81178,                0.61783,                0.83004,                0.53646,                 1.1184,                0.00109,                0.00109,                0.00109
